@relation InstanceResultListener

@attribute Key_Dataset {CM1,KC1,KC2}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.ZeroR,weka.classifiers.trees.J48,weka.classifiers.functions.Logistic,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'','-C 0.25 -M 2','-R 1.0E-8 -M -1'}
@attribute Key_Scheme_version_ID {48055541465867954,-217733168393644444,3932117032546553727,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 74\nSize of the tree: 147\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 91\nSize of the tree: 181\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 67\nSize of the tree: 133\n','Number of leaves: 80\nSize of the tree: 159\n','Number of leaves: 77\nSize of the tree: 153\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 90\nSize of the tree: 179\n','Number of leaves: 87\nSize of the tree: 173\n','Number of leaves: 76\nSize of the tree: 151\n','Number of leaves: 64\nSize of the tree: 127\n','Number of leaves: 52\nSize of the tree: 103\n','Number of leaves: 85\nSize of the tree: 169\n','Number of leaves: 60\nSize of the tree: 119\n','Number of leaves: 75\nSize of the tree: 149\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 70\nSize of the tree: 139\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 65\nSize of the tree: 129\n','Number of leaves: 53\nSize of the tree: 105\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 81\nSize of the tree: 161\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 78\nSize of the tree: 155\n','Number of leaves: 69\nSize of the tree: 137\n','Number of leaves: 71\nSize of the tree: 141\n','Number of leaves: 82\nSize of the tree: 163\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 86\nSize of the tree: 171\n','Number of leaves: 79\nSize of the tree: 157\n','Number of leaves: 66\nSize of the tree: 131\n','Number of leaves: 92\nSize of the tree: 183\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 42\nSize of the tree: 83\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 72\nSize of the tree: 143\n','Number of leaves: 68\nSize of the tree: 135\n','Number of leaves: 83\nSize of the tree: 165\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 23\nSize of the tree: 45\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data
CM1,4,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,4,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0.001,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,4,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0.001,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,4,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,449,49,45,4,0,91.836735,8.163265,0,0,0.166976,0.27456,100,100,20.157935,20.157935,0,0.411386,0.411386,0,0,0,0,1,45,1,4,0,0,0,0,0.918367,1,0.957447,0.5,0.918367,0.918367,0.918367,0.081633,0.081633,0.843399,0.918367,0.879288,0.5,0.850062,0.478723,0.918367,0.001,0,0,0,1102,95044,13044,100,100,?,?,?,?
CM1,4,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,449,49,44,5,0,89.795918,10.204082,0,0,0.181456,0.30271,100,100,23.298152,23.298152,0,0.475472,0.475472,0,0,0,0,1,44,1,5,0,0,0,0,0.897959,1,0.946237,0.5,0.897959,0.897959,0.897959,0.102041,0.102041,0.806331,0.897959,0.849682,0.5,0.816743,0.473118,0.897959,0,0,0,0,1102,95044,13044,100,100,?,?,?,?
CM1,5,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0.001,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,5,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0.001,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,5,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,5,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0.001,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,5,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,5,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0.001,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,5,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0.01,1102,94839,13249,100,100,?,?,?,?
CM1,5,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,5,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,449,49,44,5,0,89.795918,10.204082,0,0,0.181456,0.30271,100,100,23.298152,23.298152,0,0.475472,0.475472,0,0,0,0,1,44,1,5,0,0,0,0,0.897959,1,0.946237,0.5,0.897959,0.897959,0.897959,0.102041,0.102041,0.806331,0.897959,0.849682,0.5,0.816743,0.473118,0.897959,0,0,0,0,1102,95044,13044,100,100,?,?,?,?
CM1,5,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,449,49,45,4,0,91.836735,8.163265,0,0,0.166976,0.27456,100,100,20.157935,20.157935,0,0.411386,0.411386,0,0,0,0,1,45,1,4,0,0,0,0,0.918367,1,0.957447,0.5,0.918367,0.918367,0.918367,0.081633,0.081633,0.843399,0.918367,0.879288,0.5,0.850062,0.478723,0.918367,0.001,0,0,0,1102,95044,13044,100,100,?,?,?,?
CM1,6,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0.001,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,6,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0.001,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,6,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,6,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,6,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,6,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,6,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,6,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,6,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,449,49,45,4,0,91.836735,8.163265,0,0,0.166976,0.27456,100,100,20.157935,20.157935,0,0.411386,0.411386,0,0,0,0,1,45,1,4,0,0,0,0,0.918367,1,0.957447,0.5,0.918367,0.918367,0.918367,0.081633,0.081633,0.843399,0.918367,0.879288,0.5,0.850062,0.478723,0.918367,0,0,0,0,1102,95044,13044,100,100,?,?,?,?
CM1,6,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,449,49,44,5,0,89.795918,10.204082,0,0,0.181456,0.30271,100,100,23.298152,23.298152,0,0.475472,0.475472,0,0,0,0,1,44,1,5,0,0,0,0,0.897959,1,0.946237,0.5,0.897959,0.897959,0.897959,0.102041,0.102041,0.806331,0.897959,0.849682,0.5,0.816743,0.473118,0.897959,0,0,0,0,1102,95044,13044,100,100,?,?,?,?
CM1,7,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0.001,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,7,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0.001,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,7,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0.001,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,7,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0.001,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,7,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0.001,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,7,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0.001,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,7,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0.001,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,7,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,7,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,449,49,44,5,0,89.795918,10.204082,0,0,0.181456,0.30271,100,100,23.298152,23.298152,0,0.475472,0.475472,0,0,0,0,1,44,1,5,0,0,0,0,0.897959,1,0.946237,0.5,0.897959,0.897959,0.897959,0.102041,0.102041,0.806331,0.897959,0.849682,0.5,0.816743,0.473118,0.897959,0.001,0,0,0,1102,95044,13044,100,100,?,?,?,?
CM1,7,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,449,49,45,4,0,91.836735,8.163265,0,0,0.166976,0.27456,100,100,20.157935,20.157935,0,0.411386,0.411386,0,0,0,0,1,45,1,4,0,0,0,0,0.918367,1,0.957447,0.5,0.918367,0.918367,0.918367,0.081633,0.081633,0.843399,0.918367,0.879288,0.5,0.850062,0.478723,0.918367,0,0,0,0,1102,95044,13044,100,100,?,?,?,?
CM1,8,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,8,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,8,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0.001,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,8,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,8,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0.001,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,8,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,8,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0.001,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,8,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,8,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,449,49,45,4,0,91.836735,8.163265,0,0,0.166976,0.27456,100,100,20.157935,20.157935,0,0.411386,0.411386,0,0,0,0,1,45,1,4,0,0,0,0,0.918367,1,0.957447,0.5,0.918367,0.918367,0.918367,0.081633,0.081633,0.843399,0.918367,0.879288,0.5,0.850062,0.478723,0.918367,0,0.001,0,0,1102,95044,13044,100,100,?,?,?,?
CM1,8,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,449,49,44,5,0,89.795918,10.204082,0,0,0.181456,0.30271,100,100,23.298152,23.298152,0,0.475472,0.475472,0,0,0,0,1,44,1,5,0,0,0,0,0.897959,1,0.946237,0.5,0.897959,0.897959,0.897959,0.102041,0.102041,0.806331,0.897959,0.849682,0.5,0.816743,0.473118,0.897959,0,0,0,0,1102,95044,13044,100,100,?,?,?,?
CM1,9,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,9,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0.001,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,9,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,9,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0.001,0,0,1102,94839,13249,100,100,?,?,?,?
CM1,9,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20120502.1903,448,50,45,5,0,90,10,0,0,0.18,0.3,100,100,23.44978,23.44978,0,0.468996,0.468996,0,0,0,0,1,45,1,5,0,0,0,0,0.9,1,0.947368,0.5,0.9,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0.5,0.82,0.473684,0.9,0,0,0,0,1102,94839,13249,100,100,?,?,?,?
